Fossil,CODE,,NODE,USED,,,Affinities,Stem_Crown,Period,Age,Period_cal,Age_cal,max,Specimen,Locality,Formation,Justification,Reference
Xenopus_arabiensis,38,Crown_Xenopus,Xenopus + Xenopus,XX,,38,Xenopus,crown,Late Oligocene,,Chattian,23.03,84,Holotype: AMNH VP 30009,Ar Rhyashia in central western Yemen on the highlands west of the Great Escarpment,Yemen Volcanic Group,,Henrici_Baez-2001
Aneides_sp,5,Stem_Aneides,Aneides + Desmognathus,XX,,5,Aneides,stem,Lower Miocene,,Aquitanian,15.97,113,MSUMP 6504-2004,"Granite County, Montana",Cabbage Patch Fm.,Apomorphies,Tihen_Wake-1981
Amphiuma_jepseni,2,Stem_Amphiumidae,Amphiumidae + Plethodontidae,,,31,Amphiumidae,stem,Late Paleocene,,Thanetian,56,,,"Princeton Quarry local fauna (Princeton [= Silver Coulee], Fritz, and Schaff quarries), Park County, northwestern Wyoming, USA",Fort Union Fm.,,Estes-1975
Andrias_scheuchzeri,3,Stem_Andrias,Andrias + Cryptobranchus,,,10,Andrias,stem,Upper Miocene (MN 7/8),,Late Serravalian,11.63,,"Lectotype: TSMHN 8, 432",Mataschen/Styria,,Apomorphies,Tempfer-2004
Andrias_scheuchzeri,4,Stem_Andrias,Andrias + Cryptobranchus,,,10,Andrias,stem,late Miocene-early Pliocene,,Zanclean,3.6,,"MBFSZ V 2019.99.1., PTE-5152; MBFSZ V.2019.97.1., 98.1.; MBFSZ V.2019.103.1.105.1., 106.1., 107.1., 108.1., 109.1., PTE- 5148–5151, JAM 2015.10.1; MBFSZ V.2019.100.1., 101.1., 102.1., 104.1., 110.1., JAM 2006.217.155, 2008.537.1, T/2019.4.1.; JAM 2006.236.96, MBFSZ V.2019.111.1., 113.1., 114.1.; JAM T/2019.2.1., 3.1., MBFSZ V.2019.112.1.; JAM 2006.185.47; JAM T/2019.1.1.","SW Hungary, on the SE margin of the Mecsek Mountains, at the eastern bound- ary of the city of Pécs",Pécs-Danitzpuszta sand pit,Apomorphies,Szentesi_etal-2020
Chunerpeton_tianyensis,9,,Hynobiidae + Cryptobranchidae,,Hime_etal,20,Cryptobranchidae,stem,Bathonian (Late Jurassic according to Roelant_etal-2007),161,Tithonian,145,,Holotype: Chinese Academy of Geological Sciences (CAGS)-IG- 02051,"Daohugou, Ningcheng County, Inner Mongolia, China",Jiulongshan Fm.,Apomorphies,Gao_Shubin-2003
Habrosaurus_dilatus,13,,Hynobiidae + Sirenidae,,,14,Sirenidae,stem,Late Maastrichtian,,Maastrichtian,66,,Holotype: USNM 10749,"unrecorded locality in type area of formation, Niobrara County, Wyoming, USA",Lance Fm.,Apomorphies,Gardner_2003b
Egoria_malashichevi,12,,Pipidae + Plethodontidae,,,35,Caudata,stem,Middle Jurassic (Bathonian),,Bathonian,166.1,,Holotype: ZIN PH 40/144,"Berezovsk Quarry, near Nikol’skoe Village, Sharypovo District, 
Krasnoyarsk Territory, Russia",upper part of Itat Fm.,Apomorphies,Skutschas_etal-2020
Kokartus_honorarius,19,,Pipidae + Plethodontidae,,,35,Caudata,stem,late Bathonian- Callovian,,Callovian,163.5,,Holotype: CCMGE 1/11998,"Nichke 1, Kugart 1, and Kyzylsu 1, Kyrgystan",Balabansai Svita,Phylogenetic analysis,Skutschas_Martin-2011
Marmorerpeton_freemani,21,,Pipidae + Plethodontidae,,,35,Caudata,stem,Upper Bathonian,170,Bathonian,166.1,,Holotype: British Museum (Natural History) Department of Palaeontology R.11364,"Old Cement Works Quarry, Kirtlington, Oxfordshire, England","Kirtlington Mammal Bed, near base of the Forest Marble",Apomorphies,Evans_etal-1988
Marmorerpeton_kermacki,22,,Pipidae + Plethodontidae,,,35,Caudata,stem,Upper Bathonian,170,Bathonian,166.1,,Holotype: British Museum (Natural History) Department of Palaeontology R.11361,"Old Cement Works Quarry, Kirtlington, Oxfordshire, England.","Kirtlington Mammal Bed, near base of the Forest Marble",Apomorphies,Evans_etal-1988
Marmorerpeton_sp,23,,Pipidae + Plethodontidae,,,35,Caudata,stem,Upper Bathonian,170,Bathonian,166.1,,"BMNH R.11365, R.11366, R.11367, R.11368 (EF 76 : 1 : 11 : 1), R.11369, R.11370 (EF 77 : 5 : 1 : 5); R.11371, R.11372, R.11373, R.11374, R.11375, R.11376, R.11377, R. 11378, R.11379 (EF 77 : 1 : 1 : 1), R.11380","Old Cement Works Quarry, Kirtlington, Oxfordshire, England","Kirtlington Mammal Bed, near base of the Forest Marble",Apomorphies,Evans_etal-1988
Pangerpeton_sinensis,26,,Pipidae + Plethodontidae,,,35,Caudata,stem,Late Jurassic-Early Cretaceous,,Tithonian,145,,Holotype: IVPP V14244,"Wubaiding Village, Lingyuan City, Liaoning Province, China","contemporaneous with the salamanderbearing horizon at Daohugou, Inner Mongolia",Phylogenetic analysis,Wang_Evans-2006
Triadobatrachus_massinoti,34,Stem_Anura,Pipidae + Plethodontidae,,,35,Anura,stem,Gyronitian,,Induan,251.2,,"Holotype: MNHN, nº MAE 126","Betsieka, Madagascar",equated to the Sakamena group,Apomorphies,Rage_Rocek-1989
Urupia_monstrosa,36,,Pipidae + Plethodontidae,,,35,Caudata,stem,Bathonian,,Bathonian,166.1,,Holotype: ZIN PH 1/144,"Berezovsk Quarry, 2 km south of Nikol’skoe village, Sharypovo District, Krasnoyarsk Territory, Western Siberia, Russia",Grey clays of the upper part of the Itat Formation,Apomorphies,Skutschas_Krasnolutskii-2011
Balveherpeton_hoennetalensis,6,,Plethodontidae + Cryptobranchidae,,,16,Salamandroidea,stem,Barremian-Aptian,,Aptian,113,,Holotype: WMNM P76313,Balve locality,Fissure fillings within the Middle to Upper Devonian reef limestone (Massenkalk),,Skutschas_etal-2020b
Valdotriton_gracilis,37,,Plethodontidae + Cryptobranchidae,,,16,Salamandroidea,stem,Early Barremian,,Barremian,125,,Holotype: LH 928061a-b,"Las Hoyas fossil site, La Cierva township, about 20km east of Cuenca, Cuenca Province, Castilla La Mancha, Spain",Limestone in Unit III of the La Huérguina Fm.,"Phylogenetic analysis place either as stem or crown Salamandroideae; based on our topology, we place this fossil within crown group",Evans_Milner-2006
Iridotriton_hechtii,15,Stem_Salamandroidea,Plethodontidae + Cryptobranchidae,,Hime_etal,16,Salamandroidea,stem,Kimmeridgian-early Tithonian,150-148,Tithonian,145,,Holotype: DINO 16453a,"Dinosaur National Monument, Rainbow Park microsite (Dinosaur National Monument no. 96), Utah, USA ",Brushy Basin Member of the Morrison Fm.,Phylogenetic analysis,Evans_etal-2005
Koaliella_sp,17,,Salamandridae + Salamandridae,,,25,Salamandridae,crown,Paleocene,,Thanetian,56,,C.R. No. 6740,"Cernay, Lemoine Quarry",Conglomerat de Cernay,Apomorphies,Estes_etal-1967
Koalliella_genzeli,18,,Salamandridae + Salamandridae,,,25,Salamandridae,crown,,,,,,,,,,Estes_1981
Phosphotriton_sigei,28,,Salamandridae + Salamandridae,,,25,Salamandridae,crown,Likely Eocene (late Middle or Late Eocene),,Eocene,33.9,,Holotype: MNHN.F.QU17755,"Unknown locality of the Phosphorites du Quercy, southwestern France",Phosphorites du Quercy,Phylogenetic analysis,Tissier_etal-2016
Taricha_lindoei,32,Stem_Taricha,Taricha + Notophthalmus,,,33,Taricha,stem,Early Oligocene,Ar: 39–30,Rupelian,30,,Holotype: UALVP 13870,"Wheeler County, Oregon.","Big Basin Member, John Day Fm.",Phylogenetic analysis,Jacisin_Hopkins-2018
