CodeCal_SRB,NFos,Fossil taxon,Minimum age,Node calibrated,Big clade (of clade calibrated),Order (of clade calibrated),Family (of clade calibrated),Reference (first description),Reference (latest description),Organs,Specimens,Locality,Formation,Country,Reference (age),Absolute age source,Oldest stratigraphic age,Reference time scale,Age quality score,Age justification,Reference (fossil relationships),Crown or stem?,Clade calibrated (= node calibrated if by crown),Node assignment score,Reconciliation score,Node justification,Calibration,Safe minimum age (Ma),Full taxon name,Full reference (fossil relationships),Full reference (first description),Full reference (latest description),Full reference (age)
included,241,†Rhynchotheca type,15.97,crown Francoaceae (Geraniales),Rosidae,Geraniales,Francoaceae,Palazzesi et al (2012),,Pollen,Specimen: BaPal ex CIRGEO 940 (G37-1),Patagonia,Chenque Formation,Argentina,Palazzesi et al (2012),stratigraphic (upper limit of oldest stratigraphic age),Burdigalian,ICS (v2017/02),3 / unrevised (recent source >= 2000),"Palazzesi et al 2012 (BiolJLinnSoc): ""The most complete fossil assemblage of Geraniales comes from the Miocene of eastern Patagonia (Argentina), representing the first record of Vivianiaceae. These are Balbisia sect. Wendtia type and Rhynchotheca type from the early Middle Miocene (15.97 ± 0.05 Mya) and Balbisia sect. Balbisia type, Viviania marifolia type, and Viviania albiflora type from the Late Miocene (10 ± 0.3 Mya) Scasso et al. (2001).""",Palazzesi et al (2012),crown,Francoaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Palazzesi et al 2012 (BiolJLinnSoc): ""The morphology of these specimens resembles Rhynchotheca spinosa.""","crown Francoaceae (Geraniales), min 15.97 Ma",15.97 Ma,"†Rhynchotheca type Palazzesi, Gottschling, Barreda & Weigend","Palazzesi L, Gottschling M, Barreda V, Weigend M. 2012. First Miocene fossils of Vivianiaceae shed new light on phylogeny, divergence times, and historical biogeography of Geraniales. Biological Journal of the Linnean Society 107: 67–85.","Palazzesi L, Gottschling M, Barreda V, Weigend M. 2012. First Miocene fossils of Vivianiaceae shed new light on phylogeny, divergence times, and historical biogeography of Geraniales. Biological Journal of the Linnean Society 107: 67–85.",,"Palazzesi L, Gottschling M, Barreda V, Weigend M. 2012. First Miocene fossils of Vivianiaceae shed new light on phylogeny, divergence times, and historical biogeography of Geraniales. Biological Journal of the Linnean Society 107: 67–85."
included,248,†Esgueiria futabensis,86.3,stem Combretaceae (Myrtales),Rosidae,Myrtales,Combretaceae,Takahashi et al (1999),,Flower,Holotype: PP45389,"Kamikitaba plant mesofossil assemblage (sample F16), along a tributary of the Kitaba River in Kamikitaba, Hirono-machi, (Study Route B of Ando ef al. 1995 3712'N, 140'57'E).","Asamigawa Member, Ashizawa Formation",Japan,Takahashi et al (1999),stratigraphic (upper limit of oldest stratigraphic age),Coniacian,ICS (v2017/02),2 / unrevised (old source < 2000),"Takahashi et al 1999 (PalRes): ""The Ashizawa Formation is the lowermost formation in the Futaba Group, and is overlain by the Kasamatsu Formation, which itself is overlain by the Tamayama Formation. Based on the occurrence of lower Coniacian ammonites and inoceramids in the middle of the Ashizama Formation, and a lower Santonian inoceramid (lnoceramus amakusensis) in the upper part of the Tamayama Formation, the Futaba Group is thought to range in age from early Coniacian to early Santonian. The age of the plantbearing sediments in the Asamigawa Member is probably early Coniacian (ca. 89 million years before present ; Gradstein et al., 1995), whereas the age of the plant-bearing sediments in the Tamayama Formation is probably early Santonian (ca. 85 million years before present; Gradstein et al., 1995).""",Magallón et al (2015),stem,Combretaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Magallón et al 2015 (NewPhytol): ""Esgueiria futabensis shows the diagnostic characters of the genus, which was previously know from the Mira locality, Portugal (Friis et al., 1992). The flowers are described as “small, epigynous and bisexual with the perianth and androecium organized on a basically pentamerous plan. There is a calyx of five free sepals and an androecium with more than five stamens. The ovary is unilocular with three styles. The indumentum consists of simple stiff hairs and the characteristic multicellular, peltate trichomes.” (Takahashi et al., 1999). Other flowers of Esgueiria are known from slighly younger localities in Japan (Takahashi et al., 1999). Esgueiria could be a stem representative or crown group member of Combretaceae. We use it calibrate the stem node of this family.""","stem Combretaceae (Myrtales), min 86.3 Ma",86.3 Ma,"†Esgueiria futabensis Takahashi, Crane, Ando","Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Takahashi M, Crane PR, Ando H. 1999. Esgueiria futabensis sp. nov., a new angiosperm flower from the Upper Cretaceous (Lower Coniacian) of northeastern Honshu, Japan. Paleontological Research 3: 81–87.",,"Takahashi M, Crane PR, Ando H. 1999. Esgueiria futabensis sp. nov., a new angiosperm flower from the Upper Cretaceous (Lower Coniacian) of northeastern Honshu, Japan. Paleontological Research 3: 81–87."
included,249,†Decodon tiffneyi,72.1,crown Lythraceae (Myrtales),Rosidae,Myrtales,Lythraceae,Estrada-Ruiz et al (2009),,Seed,Holotype: IGM-PB 1285,"Cerro del Carmen, Rincón Colorado, General Cepeda Municipality, Coahuila",Cerro del Pueblo Formation,Mexico,Estrada-Ruiz et al (2009),stratigraphic (upper limit of oldest stratigraphic age),Campanian,ICS (v2017/02),4 / revised (stratigraphic),"Estrada-Ruiz et al 2009 (AquaBot): ""The Cerro del Pueblo Formation forms part of a set of seven formations in the Parras Basin in western and south-central Coahuila. It is composed mainly of siltstone, sandstones, and few conglomerates with rounded limestone pebbles (McBride et al., 1974). Paleobotanical and paleomagnetic observations suggest this formation is late Campanian in age (Eberth et al., 2004).""",Magallón et al (2015),crown,Lythraceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Magallón et al 2015 (NewPhytol): ""The seeds of Decodon tiffneyi are described as “small, anatropous, pyramidal with acute to rounded corners, valve occupying c. three-fourth of a concave ventral surface forming a well-marked keel, and having well-marked valve flexure. … Their ventral and dorsal surfaces are concave, the ventral seed surface is ornamented with longitudinal grooves, has a rectangular valve that occupies c. three-fourth of its surface, tends to be central, and forms a prominent keel. … On one seed the raphe is observable along the dorsal surface.” (Estrada-Ruíz, et al., 2009). Estrada-Ruíz et al. (2009) considered that the fossil seeds are similar to those of extant Decodon verticillatus (L.) Ell. in detailed morphological features, togethet with the presence in the same locality of valves with features also indicative of Decodon. We consider that these seeds were closely related to extant Decodon, and use them to calibrate the crown group of Lythraceae.""","crown Lythraceae (Myrtales), min 72.1 Ma",72.1 Ma,"†Decodon tiffneyi Estrada-Ruiz, Calvillo-Canadell & Cevallos-Ferriz","Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Estrada-Ruiz E, Calvillo-Canadell L, Cevallos-Ferriz SRS. 2009. Upper Cretaceous aquatic plants from Northern Mexico. Aquatic Botany 90: 282–288.",,"Estrada-Ruiz E, Calvillo-Canadell L, Cevallos-Ferriz SRS. 2009. Upper Cretaceous aquatic plants from Northern Mexico. Aquatic Botany 90: 282–288."
included,250,†Melastomites montanensis,56,stem Melastomataceae (Myrtales),Rosidae,Myrtales,Melastomataceae,Brown (1962),,Leaf,"Plate 56, figures 1, 2, 5, 6 [specimen numbers not provided in original description]",Localities: (5716); (7005); (8519); (8897),Fort Union Formation and Ferris Formation,USA,Brown (1962),stratigraphic (upper limit of oldest stratigraphic age),Paleocene,ICS (v2017/02),2 / unrevised (old source < 2000),"Extensively reviewed by Brown 1962, concluding: ""In particular, the Fort Union of the northern areas, having been the subject of so much dispute and because the type section is not typical, has been redefined as follows and is thus virtually synonymous with Paleocene series in that region""",Brown (1962),stem,Melastomataceae,1 / intuitive or unspecified,1 / pre-molecular era (before 1990),Justification not provided in original publication,"stem Melastomataceae (Myrtales), min 56 Ma",56 Ma,†Melastomites montanensis Brown,Brown RW 1962. Paleocene flora of the Rocky Mountains and Great Plains. Geological Survey Professional Paper 375: 1-119.,Brown RW 1962. Paleocene flora of the Rocky Mountains and Great Plains. Geological Survey Professional Paper 375: 1-119.,,Brown RW 1962. Paleocene flora of the Rocky Mountains and Great Plains. Geological Survey Professional Paper 375: 1-119.
included,253,†Flower type 3,83.6,stem Myrtaceae (Myrtales),Rosidae,Myrtales,Myrtaceae,Eklund (2003),,Flower,"Specimens: DJ.755.1.30, R.2959.27.53, R.2959.27.54","Table Nunatak, close to the Kenyon Peninsula on the eastern side of the Antarctic Peninsula (68 27 S, 62 43 W)
Table Nunatak Formation",Table Nunatak Formation,Antarctica,Eklund (2003),stratigraphic (upper limit of oldest stratigraphic age),Santonian,ICS (v2017/02),3 / unrevised (recent source >= 2000),"Eklund 2003 (RevPalPal): ""The succession is interpreted as representing shallow-marine deposition at the mouth of an estuary or a deltaic distributary channel, and it has been dated, using dinofagellate cysts, as late Santonian in age (Hathway et al., 1998).""",Eklund (2003),stem,Myrtaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Eklund 2003 (RevPalPal): ""Flowers with a cup-shaped and calyptrate receptacle occur in female £owers of some extant Monimiaceae (P.K. Endress, personal communication) and in Eucalyptus L’He¤rit (Myrtaceae). Flowers of Monimiaceae di¡er, however, from the fossil in having an apocarpous gynoecium with many carpels distributed over the inner surface of the receptacle (Philipson, 1993; Endress and Igersheim, 1997). In general outline, £ower type 3 is similar to buds of Eucalyptus (Myrtaceae). In Eucalyptus, however, £owers are bisexual, with a few exceptions (e.g. Carr et al., 1971), and the buds consist of a cup-shaped hypanthium which is covered by one or two caducous cap-like opercula (House, 1997). The gynoecium is inferior and enclosed by the cup-shaped hypanthium. The stamens are arranged in whorls and borne on a staminal ring on the apical margin of the £oral cup (e.g. House, 1997). The elongated style protrudes in the centre of the androecium. Since the operculum in Eucalyptus is derived from fusion of the tetramerous calyx or corolla (Williams and Brookner, 1997), it seems unlikely that it is homologous with the cap-like apical structure in the fossil £owers, which have three style- or stigma-lobes in a central position. Furthermore, there are no indications of stamens below the cap-like structure. Within the Myrtaceae, however, unisexual £owers with extremely short stigmas occur in the genus Psiloxylon. It is thus possible that the fossil has a/nity to extant Psiloxylon, or, alternatively, that it represents an extinct early lineage in the Myrtaceae.""","stem Myrtaceae (Myrtales), min 83.6 Ma",83.6 Ma,†Flower type 3 Eklund,Eklund H. 2003. First Cretaceous flowers from Antarctica. Review of Palaeobotany and Palynology 127: 187-217.,Eklund H. 2003. First Cretaceous flowers from Antarctica. Review of Palaeobotany and Palynology 127: 187-217.,,Eklund H. 2003. First Cretaceous flowers from Antarctica. Review of Palaeobotany and Palynology 127: 187-217.
included,251,†Paleomyrtinaea princetonensis,44.3,"crown Myrtoideae (Myrtaceae, Myrtales)",Rosidae,Myrtales,Myrtaceae,Pigg et al (1993),,Fruits and seeds,"Holotype: P5677 A side (University of Alberta, Paleobotanical Collection, UAPC-ALTA)","East Bank of the Similkameen River, 8.4. km south of Princeton, British Columbia",Princeton Chert,Canada,Massoni et al (2015),radioisotopic,,,5 / revised (radioisotopic),"See Massoni et al 2015 (PE) on +Saururus tuckerae: ""Fossils described by Smith and Stockey (2007) come from the Princeton Chert, 8.4 km south of Princeton, British Columbia, Canada, which is part of the Princeton Group, Allenby Formation (Boneham, 1968). The Princeton Chert consists of a series of alternating layers of coal and chert. The paleontological record supports a middle Eocene age, such as an amiid fish correlated with the occurrence of comparable fossils in British Columbia and in the Klondike Mountain Formation of Washington State (Wilson, 1982), and teeth of the mammal group Tillodontia (Russell, 1935). In addition, potassium-argon dating studies have provided comparable ages for the Allenby Formation: 48 ± 2 Ma (Rouse and Mathews, 1961; Mathews, 1964), between 47 ± 2 and 50 ± 2 Ma (Hills and Baadsgaard, 1967), and 46.2 ± 1.9 Ma and 49.4 ± 2 Ma (Read, 2000). With a different method (U-Pb age from zircons), Moss et al. (2005) suggested an age of 52.08 ± 0.12 Ma for the Allenby Formation. Finally, Smith and Stockey (2007) report a personal communication from H. Baadsgaard (University of Alberta, 1999) that supports an age of 48.7 Ma for the ash of Layer #22 of the Princeton Chert. Because the 7.5 m of the Princeton Chert sequence (incorporating the layer where the fossil was collected) may have accumulated in 15,000 years or less (Mustoe, 2011), this latter age is probably the closest to the real age of the fossil. However, in order to be conservative regarding the uncertainty of the age of this formation, and the fact that no uncertainty is associated with the latter age, Saururus tuckerae provides a safe minimum age of 44.3 Ma (the youngest age given by potassium-argon dating minus the associated error of 1.9 Ma).""",Pigg et al (1993),crown,Myrtoideae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Pigg et al 1993 (CanJBot): ""Affinities of these fruits are with the berrylike guavas of the Myrtaceae, tribe Myrteae, subtribe Myrtinae, and in particular, with the closely related genera Mosiera Small and Psidium L.""","crown Myrtoideae (Myrtaceae, Myrtales), min 44.3 Ma",44.3 Ma,"†Paleomyrtinaea princetonensis Pigg, Stockey & Maxwell","Pigg KB, Stockey RA, Maxwell SL. 1993. Paleomyrtinaea, a new genus of permineralized myrtaceous fruits and seeds from the Eocene of British Columbia and Paleocene of North Dakota. Canadian Journal of Botany 71: 1–9.","Pigg KB, Stockey RA, Maxwell SL. 1993. Paleomyrtinaea, a new genus of permineralized myrtaceous fruits and seeds from the Eocene of British Columbia and Paleocene of North Dakota. Canadian Journal of Botany 71: 1–9.",,"Massoni J, Doyle J, Sauquet H. 2015. Fossil calibration of Magnoliidae, an ancient lineage of angiosperms. Palaeontologia Electronica: 18.1.2FC."
included,252,†Paleomyrtinaea sp.,56,"crown Myrtoideae (Myrtaceae, Myrtales)",Rosidae,Myrtales,Myrtaceae,Crane et al (1990),Pigg et al (1993),Fruits and seeds,"Specimens: IU6177, PP34465, UND13058, PP34560","Almont: locality 15722, North Dakota","Sentinel Butte Formation, Fort Union Group",USA,Magallón et al (2015),stratigraphic (upper limit of oldest stratigraphic age),Late Paleocene,ICS (v2017/02),2 / unrevised (old source < 2000),"Magallón et al 2015 (NewPhytol): ""The Sentinel Butte Formation corresponds to the late Paleocene (Clarkforkian, Lerud, 1982) (Crane et al., 1990; Pigg et al., 1993).""",Magallón et al (2015),crown,Myrtoideae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Magallón et al 2015 (NewPhytol): ""Crane et al. (1990) considered that the fossil fruits and seeds closely resemble those of the extant Psidium guineense, but there are some differences in the thickness of the fruit wall, and lacks a dorsal layer of columnar cells that occur in the fossil. On the basis of Crane et al. (1990) observation that this fossil fruit reliably appears to belong to subfamily Myrtoideae, we use it to calibrate the crown group of Myrtaceae."" (see also Pigg et al 1993)","crown Myrtoideae (Myrtaceae, Myrtales), min 56 Ma",56 Ma,"†Paleomyrtinaea sp. (Crane, Dilcher & Manchester) Pigg, Stockey & Maxwell","Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Crane PR, Manchester SR, Dilcher DL. 1990. A preliminary survey of fossil leaves and well-preserved reproductive structures from the Sentinel Butte Formation (Paleocene) near Altmont, North Dakota. Fieldiana Geology 20: 1–63.","Pigg KB, Stockey RA, Maxwell SL. 1993. Paleomyrtinaea, a new genus of permineralized myrtaceous fruits and seeds from the Eocene of British Columbia and Paleocene of North Dakota. Canadian Journal of Botany 71: 1–9.","Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453."
included,344,†Ampelocissus parvisemina,56,crown Vitaceae (Vitales),Rosidae,Vitales,Vitaceae,Chen & Manchester (2007),,Seed,Holotype: UF 34705,"Silica Summit Butte at Beicegal Creek, North Dakota 47822.37 N, 103826.29 W (UF locality 18972)",Bullion Creek Formation,USA,Chen & Manchester (2007),stratigraphic (upper limit of oldest stratigraphic age),Paleocene,ICS (v2017/02),3 / unrevised (recent source >= 2000),"Chen & Manchester 2007 (AmJBot): ""The North American sites from which fossil Ampelocissus seeds were identified include the Beicegal Creek locality in North Dakota and the Nut Beds locality in Oregon. The Beicegal Creek locality is considered Late Paleocene based on stratigraphic position and floristic composition (Manchester et al., 2004).""",Magallón et al (2015),crown,Vitaceae,2 / intuitive or unspecified (trusted source),3 / molecular tree only,"Magallón et al 2015 (NewPhytol): ""The seed of Ampelocissus parvisemina are “round to pyriform, roundtriangular in transverse view; 3–4 mm wide, 3–4 mm high, and 2–3 mm thick; apical notch inconspicuous; beak triangular, sharply pointed. Ventral infolds broad, deep, cup-shaped, and smooth, occupying most of the area of the ventral surface. Dorsal surface smooth, some specimens have faint radiating marks; chalazal knot oval, positioned centrally on the dorsal side. A pair of suture lines running along the lateral margins of the dorsal side. Endosperm in cross section m-shaped, chalazal knot not sunken. Chalazal-apex and -base grooves present but very shallow. Testa 90 µm thick, testa on the lateral margins slightly thicker than on the dorsal and ventral faces.” (Chen & Manchester, 2007). Chen & Manchester (2007) indicate that these seeds are similar to those of the extant A. robinsonii from Central America, but note that they differ in that the dorsal radiating marks characteristic of the extant species are not always present in the fossil. Both species are similar in overall shape to Vitis, although distinguished from Vitis by the wider ventral infolds. Chen & Manchester 64 (2007) considered that A. parvisemina may represent an early member of the Ampelocissus clade retaining some characters shared with its common ancestor to Vitis (Chen & Manchester, 2007). We use this fossil to calibrate the crown group of Vitaceae.""","crown Vitaceae (Vitales), min 56 Ma",56 Ma,†Ampelocissus parvisemina Chen & Manchester,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Chen I, Manchester SR. 2007. Seed morphology of modern and fossil Ampelocissus (Vitaceae) and implications for phytogeography. American Journal of Botany 94: 1534–1553.",,"Chen I, Manchester SR. 2007. Seed morphology of modern and fossil Ampelocissus (Vitaceae) and implications for phytogeography. American Journal of Botany 94: 1534–1553."
included,202,†Indovitis chitaleyae,61.6,crown Vitaceae (Vitales),Rosidae,Vitales,Vitaceae,Manchester et al (2013),,Fruits and seeds,Holotype: UF19279-56220,"Mahurzari, about 14 km from Nagpur at N21°13.280’, E79°0.84’",Deccan Intertrappean Beds,India,Manchester et al (2013),stratigraphic (upper limit of oldest stratigraphic age),Danian,ICS (v2017/02),3 / unrevised (recent source >= 2000),"Manchester et al 2013 (AmJBot): ""The period of Deccan volcanism bracketed the Cretaceous-Tertiary boundary, and is considered to have extended over about three million years (ca. 67–64 mya; chrons 30N–29N; Hooper et al., 2010). The basalts at these sites lack crystals suitable for precise radiometric dating but the Mohgaonkalan flora is considered to be late Maastrichtian based on continuity of outcrops with the main Deccan basalt fl ows exposed in the Jhilmili section, where the chronology has been constrained by overlying Danian Zone PIa planktic foraminifera ( Keller et al., 2009 ; Keller, Princeton University, personal communication, 2011). Floristic similarities among these sites are interpreted to indicate that they are approximately contemporaneous, so that all of these sources of vitaceous seeds are most likely late Maastrichtian, approximately 66 million years old. In the absence of precise dating, it remains possible; however, that some of the sites were deposited in the Early Paleocene, but this would not change the ranking of these fossils as the oldest confi rmed representatives of the Vitales and would not alter the biogeographic signifi cance of this occurrence.""
Here we conservatively use the Danian as a safe minimum age for this fossil.",Manchester et al (2013),crown,Vitaceae,3 / apomorphy-based (apomorphies unlisted or untested),3 / molecular tree only,"Manchester et al 2013 (AmJBot): ""Indovitis chitaleyae conforms closely to extant Vitis in a suite of characters that includes seeds smooth, chalazal knot oval, ventral infolds short and parallel (except V. rotundifolia Michx. which has long parallel infolds), sclerotesta composed of columnar cells in a biseriate arrangement (Fig. 3B, E), and sclerotesta maintaining moderate thickness throughout the ventral infold (Fig. 3A, C, D, I). However, one of the features characteristic of most species of Vitis (excluding V. rotundifolia ) and the related genus Ampelocissus , i.e., a cylindrical, terminally truncate basal beak ( Figs. 3O, 4A, C ), is not developed in I. chitaleyae . If viewed as a synapomorphy for Vitis and Ampelocissus , the absence of this character in I. chitaleyae could indicate a more plesiomorphic condition that would allow this fossil to be placed at an earlier diverging position. Another feature of the fossil that tends to distinguish it from Vitis and Ampelocissus is the smoothly rounded apical margin, with no hint of an apical groove ( Fig. 3L, M ). Most species of Vitis and Ampelocissus have a groove in this position (e.g., Fig. 4A ; Chen and Manchester 2007, 2011), although in some species of Vitis it may be only weakly developed (Figs. 3O, 4C).""","crown Vitaceae (Vitales), min 61.6 Ma",61.6 Ma,"†Indovitis chitaleyae Manchester, Kapgate & Wen","Manchester SR, Kapgate DK, Wen J. 2013. Oldest fruits of the grape family (Vitaceae) from the Late Cretaceous Deccan Cherts of India. American Journal of Botany 100: 1849–1859.","Manchester SR, Kapgate DK, Wen J. 2013. Oldest fruits of the grape family (Vitaceae) from the Late Cretaceous Deccan Cherts of India. American Journal of Botany 100: 1849–1859.",,"Manchester SR, Kapgate DK, Wen J. 2013. Oldest fruits of the grape family (Vitaceae) from the Late Cretaceous Deccan Cherts of India. American Journal of Botany 100: 1849–1859."
included,239,†Dressiantha bicarpellata,86.3,stem Brassicales,Malvidae,Brassicales,,Gandolfo et al (1998),,Flower,"Holotype: CUPC 1075 (Stubs 349, 362, 363).","Old Crossman Clay Pit, Sayreville, New Jersey",Raritan Formation,USA,Massoni et al (2015),stratigraphic (upper limit of oldest stratigraphic age),Coniacian,ICS (v2017/02),4 / revised (stratigraphic),"See Massoni et al 2015 on +Jerseyanthus calycanthoides: ""These fossils were collected from the South Amboy Fire Clay Member of the Raritan Formation at the Old Crossman clay pit in Sayreville, New Jersey, USA (Crepet et al., 2005). This unit was first studied palynologically by Groot et al. (1961), who considered it Turonian based on preliminary studies on European sequences, and subsequently by Doyle (1969b), Wolfe and Pakiser (1971), Doyle and Robbins (1977), and Christopher (1979). Building on the palynological zonation of the Potomac Group by Brenner (1963), to which Doyle (1969a) added Zone III (uppermost Potomac) and Zone IV (lower Raritan), Sirkin (1974) assigned South Amboy palynofloras to a new Zone V. This unit was renamed the Complexiopollis exigua - Santalacites minor Zone by Christopher (1979) and redefined by Christopher et al. (1999) as the lowest of three subzones of the Sohlipollis Taxon Range Zone. Wolfe and Pakiser (1971) and Sirkin (1974) considered the South Amboy late Cenomanian, not much younger than underlying Woodbridge Clay Member (Zone IV), but Doyle (1969b) and Doyle and Robbins (1977) argued that it is no older than middle Turonian, based on the presence of Normapolles genera that appear at that level in Europe (Góczán et al., 1967). Doyle and Robbins (1977) and Christopher (1979) allowed that it was “possibly Coniacian,” but Crepet and Nixon (1994) and Crepet et al. (2005) accepted a late Turonian age. By contrast, Clarke et al. (2011) suggested a minimum age of the Santonian-Campanian boundary, 82.8 Ma. However, correlations by Christopher et al. (1999) and Christopher and Prowell (2010) with better-dated rocks in South Carolina imply that the Crossman locality is not this young; they correlate the C. exigua - S. minor Zone with calcareous nannofossil zones CC13 and CC14, which extend from late Turonian through Coniacian (Burnett, 1998; Ogg and Hinnov, 2012). We therefore believe there is enough evidence to consider that Jerseyanthus was at least of Coniacian age, which translates into a conservative minimum age of 85.8 Ma, the Coniacian-Santonian boundary (86.3 ±0.5 Ma; Ogg and Hinnov, 2012).""",Magallón et al (2015),stem,Brassicales,5 / phylogenetic analysis,4 / morphological and molecular trees compared,"Magallón et al (2015) state: ""The flowers of Dressiantha bicarpellata “exhibit a unique combination of characters relative to extant taxa, including the presence of a gynophore, 2 + 2 arrangementof the sepals, unequal petals, monothecal anthers, and a bicarpellate gynoecium” (Gandolfo et al., 1998). Gandolfo et al. (1998) noted that, among extant angiosperms, this character combination only occurs among the traditional Capparales, namely, with hypogynous, bisexual flowers, sepals commonly opposite and decussate, petals with imbricate, convolute, or valvate aestivation, between two and 12 stamens, tricolporate pollen grains, and in several taxa an ovary borne on a short gynophore. Gandolfo et al. (1998) noted thatthe gynoecia of Dressiantha and Brassicaceae are bicarpellate and the ovaries are bilocular, and pollen grains are tricolporate, and globose to prolate. We consider that Dressiantha could be a stem representative or crown member of Brassicales, and use it to calibrate the stem node of this order."" Furthermore, it should be noted that the original authors conducted a phylogenetic analysis based on morphological data that suggested a position well nested in Brasssicales, but relationships among extant families in their tree, and rooting of the order, are so different from current understanding based on molecular data that a stem node rather than crown node assignment is warranted for now, until further phylogenetic investigation has been conducted.","stem Brassicales, min 86.3 Ma",86.3 Ma,"†Dressiantha bicarpellata Gandolfo, Nixon and Crepet","Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Gandolfo MA, Nixon KC, Crepet WL. 1998. A new fossil flower from the Turonian of New Jersey: Dressiantha bicarpellata gen. et sp. nov. (Capparales). American Journal of Botany 85: 964–974.",,"Massoni J, Doyle J, Sauquet H. 2015. Fossil calibration of Magnoliidae, an ancient lineage of angiosperms. Palaeontologia Electronica: 18.1.2FC."
included,238,†Akania sp.,61.6,crown Akaniaceae (Brassicales),Malvidae,Brassicales,Akaniaceae,Iglesias et al (2007),,Leaf,MPEF-Pb-2020 (Museo Paleontolo´gico Egidio Feruglio),"Palacio de los Loros, Chubut, Patagonia",Salamanca Formation,Argentina,Iglesias et al (2007),stratigraphic (upper limit of oldest stratigraphic age),Danian,ICS (v2017/02),4 / revised (stratigraphic),"Iglesias et al 2007 (Geol): ""The Salamanca Formation is generally assigned to the Danian stage, based on forami nif era and ostracoda from the northern and eastern parts of the basin (Méndez, 1966; Bertels, 1975). Specifi cally, the foraminifera species present, including Globanomalina (Turborotalia ) compressa and Globoconusa daubjergensis, reliably indicate an upper Danian age (zone P1c) for the marine Salamanca (following Olsson et al., 1999). There are three less reliable but consistent radiometric ages, all from whole-rock K-Ar analyses. [...] Based on this evidence and the lack of signifi cant hiatuses observed between the relevant units, the Palacio de los Loros megafl oras, which locally overlie the marine Salamanca and underlie the Banco Negro Inferior, can be well constrained to an age near the Danian- Selandian boundary. This is equivalent to the magnetic polarity chron 26–27 boundary at 61.7 ± 0.2 Ma (Gradstein et al., 2004). However, a more precise age assignment for the Palacio de los Loros fl oras requires additional work, with particular attention to western strata of the San Jorge Basin.""",Iglesias et al (2007),crown,Akaniaceae,1 / intuitive or unspecified,3 / molecular tree only,"Unspecified, no formal description of the fossil","crown Akaniaceae (Brassicales), min 61.6 Ma",61.6 Ma,†Akania sp. Iglesias,"Iglesias A, Wilf P, Johnson KR, Zamuner AB, Cúneo NR, Matheos SD, Singer BS. 2007. A Paleocene lowland macroflora from Patagonia reveals significantly greater richness than North American analogs. Geology 35: 947–950.","Iglesias A, Wilf P, Johnson KR, Zamuner AB, Cúneo NR, Matheos SD, Singer BS. 2007. A Paleocene lowland macroflora from Patagonia reveals significantly greater richness than North American analogs. Geology 35: 947–950.",,"Iglesias A, Wilf P, Johnson KR, Zamuner AB, Cúneo NR, Matheos SD, Singer BS. 2007. A Paleocene lowland macroflora from Patagonia reveals significantly greater richness than North American analogs. Geology 35: 947–950."
